_id,userId,userName,alias,profilePicture,userCreatedAt,bio,followers,following,lists,statusesCount,verified,userLocation,lang,type,text,createdAt,mentions,totalRetweets,favorites,replies,links,firstLink,images,impressions,isImage,firstImage,location,url,noteTweetText,inReplyTo,inReplyToId,inReplyToUserId,reportName
1574433970783014912,3305141380,Luis Miguel Ochoa L,LuisMiguelOchoL,https://pbs.twimg.com/profile_images/608332010273259522/reb3WcIw_normal.jpg,2015-05-31T22:03:43.000Z,"",24,40,0,2116,false,"",es,reply,"@SaVanessCa Por muchos q llores petro es su presidente vamos por el cambio para vivir sabroso con dignidad duela quien le duela fuera los corrupto de este país",2022-09-26T16:21:24.000Z,"[""@savanessca""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574433970783014912,,SaVanessCa,1574418301714767872,1368728157294067715,
1574433085214662656,1493004910065065984,Jaime Riveros Tabares,RiverosTabares,https://pbs.twimg.com/profile_images/1493005048217014277/Oh9JL4_b_normal.png,2022-02-13T23:31:56.000Z,"",4,22,0,1037,false,"",es,reply,"@jarizabaletaf Vivir sabroso es dia tras dia ver llorando a los uribistas el pueblo despertó no come de esos recalentados ceso la urrible noche No olvidar que el presidente se llama GUSTAVO PETRO y el es el que ordena",2022-09-26T16:17:53.000Z,"[""@jarizabaletaf""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574433085214662656,,jarizabaletaf,1573732437028478979,965331540,
1574432415916900353,1493004910065065984,Jaime Riveros Tabares,RiverosTabares,https://pbs.twimg.com/profile_images/1493005048217014277/Oh9JL4_b_normal.png,2022-02-13T23:31:56.000Z,"",4,22,0,1037,false,"",es,reply,"@AlbertoBernalLe @petrogustavo Vivir sabroso es dia tras dia ver llorando a los uribistas el pueblo despertó no come de esos recalentados ceso la urrible noche no olvidar el presidente se llama GUSTAVO PETRO y es que ordena",2022-09-26T16:15:14.000Z,"[""@albertobernalle"",""@petrogustavo""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574432415916900353,,AlbertoBernalLe,1573721859882983425,179722950,
1574430398297292806,1547203326575607808,Mr.Cami,Yo_CamiR,https://pbs.twimg.com/profile_images/1697221864425189376/t-V8qQ1E_normal.jpg,2022-07-13T12:56:59.000Z,"Soy un bot. 🇲🇨",87,441,1,4707,false,"",es,original,"Eso de vivir sabroso solo es para Francia Marquez que a esta hora anda durmiendo.",2022-09-26T16:07:13.000Z,"[]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574430398297292806,,false,,,
1574428311572209664,1526297641096728577,ALMA MARCELA GOZO,Elver64119373,https://pbs.twimg.com/profile_images/1527322737902923776/ivUXfTBG_normal.jpg,2022-05-16T20:25:21.000Z,"",0,75,0,107,false,"",es,original,"Los jeans de $45 millones con los que Verónica Alcocer ¿despilfarra el sueldo de Petro? Via @Las2orillas https://t.co/hgovMce1dp. ESO SÍ ES VIVIR SABROSO con el dinero del pueblo",2022-09-26T15:58:55.000Z,"[""@las2orillas""]",0,0,0,"[""https://www.las2orillas.co/veronica-alcocer-jeans-new-york/#.YzHLuHwBkTY.twitte""]","https://www.las2orillas.co/veronica-alcocer-jeans-new-york/#.YzHLuHwBkTY.twitte","[]",0,false,,"",https://x.com/user/status/1574428311572209664,,false,,,
1574415366322782214,17372602,El Chamuco,El_Chamuco,https://pbs.twimg.com/profile_images/1433479800241393667/X_7EhD2X_normal.jpg,2008-11-13T19:44:58.000Z,"Cuenta oficial de la Revista El Chamuco y los Hijos del Averno Chamuco TV y Chamuco Media.",221819,474,1512,118979,true,"Ciudad de México",es,original,"🔴Francia Márquez: Vivir Sabroso #LoMejorDelChamucoTV https://t.co/thy6qFiPle",2022-09-26T15:07:29.000Z,"[]",7,17,0,"[""https://x.com/El_Chamuco/status/1574415366322782214/video/1""]","https://x.com/El_Chamuco/status/1574415366322782214/video/1","[]",0,false,,"Ciudad de México",https://x.com/user/status/1574415366322782214,,false,,,
1574407112456798208,2784630579,Any,Any1895,https://pbs.twimg.com/profile_images/1967609514422673408/18-6emD0_normal.jpg,2014-09-26T00:09:01.000Z,"",511,83,1,146621,false,"",es,reply,"@VickyDavilaH Sandra R muy seguramente ud es una de las que empezó a Vivir Sabroso porque el desgobierno del Guerrillero borrachin Petro su amigo pondrá a vivir sabroso a todo delincuente propio y extraño. QUE VIVA EL CAMBIO!!",2022-09-26T14:34:41.000Z,"[""@vickydavilah""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574407112456798208,,VickyDavilaH,1574144583906332672,242730842,
1574404583064993793,2359541242,hernando bernal,hernandobernal0,https://pbs.twimg.com/profile_images/581967760927952896/xT3dvYx8_normal.jpg,2014-02-22T22:07:54.000Z,"",97,797,0,15937,false,"",es,original,"Este es el cambio para vivir sabroso petristas que verguenza ahora dira petro qur no es de su banda..... https://t.co/ryCKzCPTsW",2022-09-26T14:24:38.000Z,"[]",0,0,0,"[""https://twitter.com/VickyDavilaH/status/1574389466957221890""]","https://twitter.com/VickyDavilaH/status/1574389466957221890","[]",0,false,,"",https://x.com/user/status/1574404583064993793,,false,,,
1574402287757185024,1566187336202952705,diego,diego70418452,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2022-09-03T22:12:31.000Z,"",0,44,0,49,false,"",es,original,"@JeffersonMR9 Está se ve que solo habla desde el adoctrinamiento que la izquierda reaccione lea abra los ojos que el cambio como dice Francia vamos a vivir sabroso solo es para los políticos no para la clase pobre.",2022-09-26T14:15:31.000Z,"[]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574402287757185024,,false,,,
1574400163489419264,1541867636354682881,sofia cuadrado,sofiacuadradorx,https://pbs.twimg.com/profile_images/1541867769553100802/sgi34mbf_normal.jpg,2022-06-28T19:34:57.000Z,"La vida es una cadena de consecuencias",9,32,0,392,false,"",es,reply,"@UltimaHoraCR @CaracolRadio Petro ya va a poner a vivir sabroso al régimen de Maduro..",2022-09-26T14:07:04.000Z,"[""@ultimahoracr"",""@caracolradio""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574400163489419264,,UltimaHoraCR,1574358721639186434,1297930090135920640,
